customer_id,first_name,last_name,email,phone,city,state,region,signup_date,loyalty_member,email_missing
1,Richard,Perez,richard.perez1@example.com,(343) 688-6301,Boston,MA,Northeast,2020-01-27,True,False
2,James,Rodriguez,james.rodriguez2@example.com,(657) 971-5374,Houston,TX,South,2020-08-22,False,False
3,Elizabeth,Jackson,elizabeth.jackson3@example.com,(211) 467-6890,San Francisco,CA,West,2024-06-04,True,False
4,Mary,Perez,mary.perez4@example.com,(514) 363-7642,Boston,MA,Northeast,2023-03-22,False,False
5,Matthew,Brown,matthew.brown5@example.com,(576) 829-4618,Los Angeles,CA,West,2021-04-23,True,False
6,John,Thomas,john.thomas6@example.com,(965) 820-7121,Philadelphia,PA,Northeast,2023-02-07,False,False
7,Matthew,Moore,matthew.moore7@example.com,(975) 750-4578,Phoenix,AZ,West,2023-04-13,True,False
8,Nancy,Harris,nancy.harris8@example.com,(738) 657-9653,Miami,FL,South,2018-12-02,False,False
9,Robert,Robinson,robert.robinson9@example.com,(263) 760-9281,Miami,FL,South,2019-04-05,True,False
10,Charles,Moore,charles.moore10@example.com,(535) 732-8239,Philadelphia,PA,Northeast,2019-11-05,True,False
11,Nancy,Miller,nancy.miller11@example.com,(700) 293-9361,San Francisco,CA,West,2024-07-16,False,False
12,Betty,Johnson,betty.johnson12@example.com,(725) 625-8484,Dallas,TX,South,2019-06-25,True,False
13,Sarah,Anderson,sarah.anderson13@example.com,(940) 222-7487,Los Angeles,CA,West,2021-06-16,False,False
14,Mark,Smith,mark.smith14@example.com,(792) 274-1742,San Francisco,CA,West,2020-06-11,False,False
15,Barbara,Thompson,barbara.thompson15@example.com,(261) 270-8734,Boston,MA,Northeast,2024-01-26,True,False
16,Elizabeth,Wilson,elizabeth.wilson16@example.com,(984) 856-7887,Philadelphia,PA,Northeast,2019-07-09,False,False
17,Steven,Gonzalez,steven.gonzalez17@example.com,(584) 282-9835,Dallas,TX,South,2022-03-27,True,False
18,Daniel,Ramirez,daniel.ramirez18@example.com,(382) 750-7439,Minneapolis,MN,Midwest,2019-05-01,True,False
19,Lisa,Davis,lisa.davis19@example.com,(974) 223-5888,Denver,CO,West,2018-01-15,False,False
20,Nancy,White,nancy.white20@example.com,(744) 588-4762,Atlanta,GA,South,2022-10-04,True,False
21,Joseph,Lopez,joseph.lopez21@example.com,(393) 942-2848,Philadelphia,PA,Northeast,2021-02-03,True,False
22,Betty,Perez,betty.perez22@example.com,(984) 216-4943,Houston,TX,South,2024-11-23,True,False
23,Robert,Brown,robert.brown23@example.com,(657) 812-1797,Miami,FL,South,2018-05-18,True,False
24,Lisa,Johnson,lisa.johnson24@example.com,(439) 752-4559,Houston,TX,South,2022-12-03,True,False
25,John,Taylor,john.taylor25@example.com,(949) 789-6224,Detroit,MI,Midwest,2020-08-17,False,False
26,Linda,Martinez,linda.martinez26@example.com,(876) 733-4621,Phoenix,AZ,West,2019-08-10,False,False
27,Elizabeth,Rodriguez,elizabeth.rodriguez27@example.com,(805) 952-3869,New York,NY,Northeast,2024-03-30,False,False
28,Sarah,Thomas,sarah.thomas28@example.com,(858) 887-7244,New York,NY,Northeast,2021-11-11,False,False
29,Matthew,Wilson,matthew.wilson29@example.com,(507) 585-4012,Houston,TX,South,2019-09-04,False,False
30,Linda,Ramirez,linda.ramirez30@example.com,(924) 347-8586,Chicago,IL,Midwest,2021-05-16,True,False
31,Sarah,Wilson,sarah.wilson31@example.com,(742) 337-7363,Houston,TX,South,2024-04-01,True,False
32,William,Miller,william.miller32@example.com,(280) 660-7079,Minneapolis,MN,Midwest,2025-04-02,True,False
33,Sarah,White,sarah.white33@example.com,(252) 474-7179,Denver,CO,West,2020-02-20,True,False
34,Margaret,Williams,margaret.williams34@example.com,(941) 887-4555,Chicago,IL,Midwest,2024-08-03,False,False
35,Michael,Ramirez,michael.ramirez35@example.com,(510) 215-4470,Phoenix,AZ,West,2021-09-25,True,False
36,Lisa,Brown,lisa.brown36@example.com,(448) 912-4350,San Francisco,CA,West,2023-05-16,False,False
37,Sandra,Davis,sandra.davis37@example.com,(994) 489-7236,Atlanta,GA,South,2021-08-10,False,False
38,Sarah,Lee,sarah.lee38@example.com,(467) 568-9401,Minneapolis,MN,Midwest,2021-06-17,False,False
39,Joseph,Brown,joseph.brown39@example.com,(979) 527-4328,Seattle,WA,West,2023-04-08,False,False
40,David,Wilson,david.wilson40@example.com,(426) 959-3390,New York,NY,Northeast,2024-04-23,True,False
41,William,Moore,william.moore41@example.com,(793) 937-7841,Phoenix,AZ,West,2024-07-20,False,False
42,John,Miller,john.miller42@example.com,(588) 783-5026,Minneapolis,MN,Midwest,2020-07-31,False,False
43,Sarah,Lee,sarah.lee43@example.com,(463) 981-9005,Los Angeles,CA,West,2021-10-14,False,False
44,Joseph,Garcia,joseph.garcia44@example.com,(373) 343-9954,San Francisco,CA,West,2021-12-13,False,False
45,Jennifer,Robinson,jennifer.robinson45@example.com,(857) 260-9584,Phoenix,AZ,West,2024-01-30,True,False
46,Mark,Ramirez,mark.ramirez46@example.com,(249) 982-1104,Boston,MA,Northeast,2025-06-30,False,False
47,John,Clark,john.clark47@example.com,(269) 924-3474,Los Angeles,CA,West,2020-08-05,True,False
48,Michael,Taylor,michael.taylor48@example.com,(261) 832-8916,Dallas,TX,South,2022-03-09,False,False
49,James,Smith,james.smith49@example.com,(621) 212-1274,Atlanta,GA,South,2024-03-09,False,False
50,Sarah,Martinez,sarah.martinez50@example.com,(914) 890-8054,New York,NY,Northeast,2023-08-20,True,False
51,Patricia,Robinson,patricia.robinson51@example.com,(352) 446-4144,Boston,MA,Northeast,2023-11-18,False,False
52,Mark,Lopez,mark.lopez52@example.com,(280) 582-7652,Detroit,MI,Midwest,2022-06-14,False,False
53,Charles,Davis,charles.davis53@example.com,(507) 900-2320,San Francisco,CA,West,2020-07-14,True,False
54,Robert,Gonzalez,robert.gonzalez54@example.com,(765) 687-1919,Houston,TX,South,2022-03-25,True,False
55,Matthew,Garcia,matthew.garcia55@example.com,(644) 860-6427,Boston,MA,Northeast,2023-08-10,True,False
56,Steven,Taylor,steven.taylor56@example.com,(435) 416-8790,Phoenix,AZ,West,2018-06-24,False,False
57,Mary,Robinson,mary.robinson57@example.com,(487) 756-1539,Boston,MA,Northeast,2025-09-04,True,False
58,Sandra,Ramirez,sandra.ramirez58@example.com,(412) 801-3362,Minneapolis,MN,Midwest,2018-03-06,False,False
59,Sandra,Williams,sandra.williams59@example.com,(777) 446-7375,Detroit,MI,Midwest,2019-10-28,False,False
60,Richard,Harris,richard.harris60@example.com,(905) 941-2284,San Francisco,CA,West,2019-07-28,False,False
61,Mary,Brown,mary.brown61@example.com,(277) 548-7499,Houston,TX,South,2020-08-08,False,False
62,James,Lee,james.lee62@example.com,(702) 433-6829,Detroit,MI,Midwest,2023-01-20,False,False
63,Susan,Garcia,susan.garcia63@example.com,(876) 589-2404,Los Angeles,CA,West,2024-07-27,False,False
64,Betty,Davis,betty.davis64@example.com,(284) 474-3526,San Francisco,CA,West,2018-10-29,False,False
65,Matthew,Sanchez,matthew.sanchez65@example.com,(957) 598-6188,Los Angeles,CA,West,2019-09-24,False,False
66,Patricia,Williams,patricia.williams66@example.com,(655) 568-5419,New York,NY,Northeast,2021-06-16,True,False
67,John,Williams,john.williams67@example.com,(659) 770-9395,Philadelphia,PA,Northeast,2022-11-01,False,False
68,Patricia,Smith,patricia.smith68@example.com,(767) 295-6315,Boston,MA,Northeast,2021-12-20,False,False
69,James,Martinez,james.martinez69@example.com,(997) 286-4977,Houston,TX,South,2022-05-08,True,False
70,Nancy,Gonzalez,nancy.gonzalez70@example.com,(475) 508-5397,Philadelphia,PA,Northeast,2019-07-23,False,False
